<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
NYMEX.NG,60,20180401,210000,2.7300000,2.7480000,2.7270000,2.7380000,1030
NYMEX.NG,60,20180401,220000,2.7380000,2.7400000,2.7370000,2.7380000,221
NYMEX.NG,60,20180401,230000,2.7390000,2.7390000,2.7340000,2.7370000,252
NYMEX.NG,60,20180402,000000,2.7370000,2.7400000,2.7360000,2.7370000,268
NYMEX.NG,60,20180402,010000,2.7380000,2.7390000,2.7300000,2.7300000,286
NYMEX.NG,60,20180402,020000,2.7300000,2.7330000,2.7280000,2.7290000,331
NYMEX.NG,60,20180402,030000,2.7290000,2.7320000,2.7280000,2.7310000,167
NYMEX.NG,60,20180402,040000,2.7300000,2.7340000,2.7280000,2.7340000,322
NYMEX.NG,60,20180402,050000,2.7340000,2.7340000,2.7300000,2.7320000,246
NYMEX.NG,60,20180402,060000,2.7330000,2.7400000,2.7330000,2.7370000,507
NYMEX.NG,60,20180402,070000,2.7370000,2.7450000,2.7360000,2.7410000,505
NYMEX.NG,60,20180402,080000,2.7400000,2.7490000,2.7320000,2.7480000,601
NYMEX.NG,60,20180402,090000,2.7480000,2.7530000,2.7410000,2.7470000,763
NYMEX.NG,60,20180402,100000,2.7470000,2.7490000,2.7320000,2.7460000,2023
NYMEX.NG,60,20180402,110000,2.7460000,2.7590000,2.7420000,2.7540000,4330
NYMEX.NG,60,20180402,120000,2.7550000,2.7560000,2.6640000,2.6780000,42568
NYMEX.NG,60,20180402,130000,2.6770000,2.6830000,2.6620000,2.6620000,17872
NYMEX.NG,60,20180402,140000,2.6620000,2.6680000,2.6500000,2.6560000,17738
NYMEX.NG,60,20180402,150000,2.6560000,2.6660000,2.6530000,2.6660000,5985
NYMEX.NG,60,20180402,160000,2.6670000,2.6790000,2.6650000,2.6770000,8917
NYMEX.NG,60,20180402,170000,2.6770000,2.6850000,2.6750000,2.6750000,14212
NYMEX.NG,60,20180402,180000,2.6760000,2.6800000,2.6710000,2.6730000,1808
NYMEX.NG,60,20180402,190000,2.6730000,2.6780000,2.6730000,2.6770000,1472
NYMEX.NG,60,20180402,210000,2.6790000,2.6810000,2.6750000,2.6760000,312
NYMEX.NG,60,20180402,220000,2.6760000,2.6790000,2.6740000,2.6780000,174
NYMEX.NG,60,20180402,230000,2.6780000,2.6830000,2.6720000,2.6810000,666
NYMEX.NG,60,20180403,000000,2.6800000,2.6840000,2.6790000,2.6810000,297
NYMEX.NG,60,20180403,010000,2.6810000,2.6810000,2.6780000,2.6800000,107
NYMEX.NG,60,20180403,020000,2.6810000,2.6820000,2.6760000,2.6800000,246
NYMEX.NG,60,20180403,030000,2.6800000,2.6810000,2.6740000,2.6760000,221
NYMEX.NG,60,20180403,040000,2.6760000,2.6880000,2.6700000,2.6810000,1672
NYMEX.NG,60,20180403,050000,2.6820000,2.6840000,2.6770000,2.6780000,640
NYMEX.NG,60,20180403,060000,2.6770000,2.6910000,2.6770000,2.6870000,1399
NYMEX.NG,60,20180403,070000,2.6870000,2.6880000,2.6790000,2.6800000,1196
NYMEX.NG,60,20180403,080000,2.6810000,2.6840000,2.6780000,2.6830000,694
NYMEX.NG,60,20180403,090000,2.6820000,2.6890000,2.6700000,2.6720000,1538
NYMEX.NG,60,20180403,100000,2.6720000,2.6820000,2.6670000,2.6730000,2267
NYMEX.NG,60,20180403,110000,2.6740000,2.6920000,2.6740000,2.6910000,4676
NYMEX.NG,60,20180403,120000,2.6900000,2.7070000,2.6860000,2.7030000,13409
NYMEX.NG,60,20180403,130000,2.7020000,2.7040000,2.6840000,2.6910000,9862
NYMEX.NG,60,20180403,140000,2.6910000,2.7070000,2.6890000,2.7020000,7474
NYMEX.NG,60,20180403,150000,2.7010000,2.7040000,2.6890000,2.6900000,5942
NYMEX.NG,60,20180403,160000,2.6890000,2.7020000,2.6890000,2.6930000,5589
NYMEX.NG,60,20180403,170000,2.6920000,2.7000000,2.6890000,2.6990000,9352
NYMEX.NG,60,20180403,180000,2.7000000,2.7000000,2.6960000,2.6970000,1503
NYMEX.NG,60,20180403,190000,2.6970000,2.6980000,2.6950000,2.6950000,889
NYMEX.NG,60,20180403,210000,2.6960000,2.7040000,2.6950000,2.7010000,257
NYMEX.NG,60,20180403,220000,2.7020000,2.7040000,2.7010000,2.7030000,135
NYMEX.NG,60,20180403,230000,2.7030000,2.7130000,2.7030000,2.7070000,519
NYMEX.NG,60,20180404,000000,2.7070000,2.7120000,2.7070000,2.7090000,273
NYMEX.NG,60,20180404,010000,2.7080000,2.7130000,2.7080000,2.7120000,233
NYMEX.NG,60,20180404,020000,2.7120000,2.7150000,2.7090000,2.7120000,268
NYMEX.NG,60,20180404,030000,2.7120000,2.7130000,2.7040000,2.7070000,399
NYMEX.NG,60,20180404,040000,2.7070000,2.7070000,2.7000000,2.7030000,419
NYMEX.NG,60,20180404,050000,2.7030000,2.7040000,2.6960000,2.7000000,366
NYMEX.NG,60,20180404,060000,2.7000000,2.7020000,2.6960000,2.6980000,330
NYMEX.NG,60,20180404,070000,2.6980000,2.7040000,2.6750000,2.6800000,2407
NYMEX.NG,60,20180404,080000,2.6800000,2.6950000,2.6790000,2.6910000,1128
NYMEX.NG,60,20180404,090000,2.6910000,2.7050000,2.6890000,2.6910000,1723
NYMEX.NG,60,20180404,100000,2.6910000,2.7040000,2.6850000,2.6870000,2791
NYMEX.NG,60,20180404,110000,2.6860000,2.6980000,2.6820000,2.6900000,4141
NYMEX.NG,60,20180404,120000,2.6900000,2.7460000,2.6900000,2.7380000,24270
NYMEX.NG,60,20180404,130000,2.7380000,2.7410000,2.7290000,2.7370000,11705
NYMEX.NG,60,20180404,140000,2.7380000,2.7420000,2.7320000,2.7340000,7095
NYMEX.NG,60,20180404,150000,2.7330000,2.7400000,2.7330000,2.7380000,3652
NYMEX.NG,60,20180404,160000,2.7390000,2.7410000,2.7310000,2.7310000,6535
NYMEX.NG,60,20180404,170000,2.7320000,2.7320000,2.7080000,2.7110000,14346
NYMEX.NG,60,20180404,180000,2.7100000,2.7130000,2.7000000,2.7080000,3364
NYMEX.NG,60,20180404,190000,2.7080000,2.7120000,2.7070000,2.7090000,1007
NYMEX.NG,60,20180404,210000,2.7120000,2.7130000,2.7080000,2.7090000,229
NYMEX.NG,60,20180404,220000,2.7090000,2.7100000,2.7060000,2.7080000,205
NYMEX.NG,60,20180404,230000,2.7090000,2.7090000,2.7060000,2.7080000,199
NYMEX.NG,60,20180405,000000,2.7090000,2.7100000,2.7060000,2.7070000,332
NYMEX.NG,60,20180405,010000,2.7080000,2.7130000,2.7060000,2.7100000,418
NYMEX.NG,60,20180405,020000,2.7100000,2.7130000,2.7080000,2.7100000,213
NYMEX.NG,60,20180405,030000,2.7110000,2.7150000,2.7090000,2.7110000,301
NYMEX.NG,60,20180405,040000,2.7110000,2.7110000,2.6910000,2.6920000,1005
NYMEX.NG,60,20180405,050000,2.6920000,2.6940000,2.6840000,2.6900000,1143
NYMEX.NG,60,20180405,060000,2.6890000,2.6900000,2.6820000,2.6860000,1057
NYMEX.NG,60,20180405,070000,2.6860000,2.6920000,2.6810000,2.6890000,991
NYMEX.NG,60,20180405,080000,2.6900000,2.6990000,2.6890000,2.6920000,951
NYMEX.NG,60,20180405,090000,2.6930000,2.6930000,2.6850000,2.6880000,1240
NYMEX.NG,60,20180405,100000,2.6890000,2.6970000,2.6860000,2.6900000,2091
NYMEX.NG,60,20180405,110000,2.6890000,2.7140000,2.6870000,2.7010000,5724
NYMEX.NG,60,20180405,120000,2.7010000,2.7110000,2.6930000,2.7020000,8855
NYMEX.NG,60,20180405,130000,2.7030000,2.7030000,2.6510000,2.6610000,31324
NYMEX.NG,60,20180405,140000,2.6610000,2.6740000,2.6580000,2.6630000,15769
NYMEX.NG,60,20180405,150000,2.6640000,2.6680000,2.6580000,2.6660000,7582
NYMEX.NG,60,20180405,160000,2.6650000,2.6670000,2.6600000,2.6640000,6124
NYMEX.NG,60,20180405,170000,2.6640000,2.6780000,2.6630000,2.6760000,12961
NYMEX.NG,60,20180405,180000,2.6750000,2.6780000,2.6730000,2.6770000,1491
NYMEX.NG,60,20180405,190000,2.6770000,2.6830000,2.6770000,2.6790000,1313
NYMEX.NG,60,20180405,210000,2.6800000,2.6830000,2.6790000,2.6790000,297
NYMEX.NG,60,20180405,220000,2.6800000,2.6820000,2.6750000,2.6770000,441
NYMEX.NG,60,20180405,230000,2.6790000,2.6820000,2.6760000,2.6800000,402
NYMEX.NG,60,20180406,000000,2.6810000,2.6850000,2.6800000,2.6830000,349
NYMEX.NG,60,20180406,010000,2.6850000,2.6850000,2.6820000,2.6840000,201
NYMEX.NG,60,20180406,020000,2.6850000,2.6860000,2.6830000,2.6840000,183
NYMEX.NG,60,20180406,030000,2.6840000,2.6860000,2.6790000,2.6830000,673
NYMEX.NG,60,20180406,040000,2.6820000,2.6860000,2.6770000,2.6850000,546
NYMEX.NG,60,20180406,050000,2.6850000,2.6890000,2.6820000,2.6840000,548
NYMEX.NG,60,20180406,060000,2.6840000,2.6870000,2.6790000,2.6870000,468
NYMEX.NG,60,20180406,070000,2.6860000,2.6980000,2.6860000,2.6940000,1412
NYMEX.NG,60,20180406,080000,2.6940000,2.7170000,2.6920000,2.7130000,3429
NYMEX.NG,60,20180406,090000,2.7140000,2.7170000,2.7050000,2.7150000,1743
NYMEX.NG,60,20180406,100000,2.7160000,2.7160000,2.6960000,2.7030000,3174
NYMEX.NG,60,20180406,110000,2.7040000,2.7110000,2.6940000,2.7090000,6088
NYMEX.NG,60,20180406,120000,2.7090000,2.7120000,2.6880000,2.7040000,11249
NYMEX.NG,60,20180406,130000,2.7040000,2.7060000,2.6930000,2.7030000,5706
NYMEX.NG,60,20180406,140000,2.7040000,2.7040000,2.6980000,2.7010000,4419
NYMEX.NG,60,20180406,150000,2.7010000,2.7020000,2.6930000,2.6970000,1903
NYMEX.NG,60,20180406,170000,2.7020000,2.7020000,2.6960000,2.6970000,7771
