Date;Open;High;Low;Close;Adj Close;Volume
01.02.2018;2.743;2.943;2.722;2.868;2.868;0
01.03.2018;2.831;2.936;2.739;2.741;2.741;0
01.04.2018;2.763;3.035;2.717;2.936;2.936;0
01.05.2018;2.966;3.115;2.759;2.822;2.822;0
01.06.2018;2.9;3.009;2.824;2.849;2.849;0
01.07.2018;2.829;2.99;2.811;2.964;2.964;0
01.08.2018;2.992;3.016;2.808;2.853;2.853;0
01.09.2018;2.869;3.11;2.868;3.056;3.056;0
01.10.2018;3.086;3.248;3.046;3.159;3.159;0
01.11.2018;3.164;3.239;3.008;3.013;3.013;0
01.12.2018;3.041;3.041;2.679;2.686;2.686;0
01.01.2019;2.652;2.799;2.554;2.635;2.635;0
01.02.2019;2.631;2.734;2.625;2.711;2.711;0
01.03.2019;2.737;2.759;2.356;2.414;2.414;0
01.04.2019;2.442;2.614;2.424;2.509;2.509;0
01.05.2019;2.504;2.576;2.137;2.142;2.142;0
01.06.2019;2.112;2.174;1.975;2;2;0
01.07.2019;2.026;2.148;1.943;2.021;2.021;0
01.08.2019;2.028;2.028;1.446;1.506;1.506;0
01.09.2019;1.483;1.903;1.429;1.675;1.675;0
01.10.2019;1.727;1.86;1.51;1.691;1.691;0
01.11.2019;1.677;1.971;1.67;1.776;1.776;0
01.12.2019;1.833;1.949;1.693;1.919;1.919;0
01.01.2020;1.903;1.903;1.512;1.52;1.52;0
01.02.2020;1.555;1.668;1.127;1.127;1.127;0
01.03.2020;1.067;1.266;0.398;0.698;0.698;0
01.04.2020;0.61;0.784;0.568;0.609;0.609;0
