n_y;n_c;n_j;n_ex;n_im;n_ds;n_g
2269.854712;1101.967916;377.1846299;745.8244564;419.4360621;88.95387435;375.3598978
2269.854712;1101.967916;377.1846299;745.8244564;419.4360621;88.95387435;375.3598978
2269.854712;1101.967916;377.1846299;745.8244564;419.4360621;88.95387435;375.3598978
2328.284846;1167.284921;416.4734643;752.749224;446.684809;42.42103097;396.0410147
2328.284846;1167.284921;416.4734643;752.749224;446.684809;42.42103097;396.0410147
2328.284846;1167.284921;416.4734643;752.749224;446.684809;42.42103097;396.0410147
2467.495014;1229.142003;451.4211879;763.4696808;464.3883763;70.58388494;417.2666331
2467.495014;1229.142003;451.4211879;763.4696808;464.3883763;70.58388494;417.2666331
2467.495014;1229.142003;451.4211879;763.4696808;464.3883763;70.58388494;417.2666331
2544.670239;1294.065079;490.5158349;747.4873947;512.5957094;90.22884907;434.9687905
2544.670239;1294.065079;490.5158349;747.4873947;512.5957094;90.22884907;434.9687905
2544.670239;1294.065079;490.5158349;747.4873947;512.5957094;90.22884907;434.9687905
2656.712341;1331.837817;509.893783;754.2483789;534.7285735;138.1922057;457.2687302
2656.712341;1331.837817;509.893783;754.2483789;534.7285735;138.1922057;457.2687302
2656.712341;1331.837817;509.893783;754.2483789;534.7285735;138.1922057;457.2687302
2839.929106;1428.554468;572.1724305;791.1645293;570.2486578;135.8450247;482.4413116
2839.929106;1428.554468;572.1724305;791.1645293;570.2486578;135.8450247;482.4413116
2839.929106;1428.554468;572.1724305;791.1645293;570.2486578;135.8450247;482.4413116
3019.237453;1526.859332;603.4661825;822.8092023;595.0247907;150.7772488;510.3502783
3019.237453;1526.859332;603.4661825;822.8092023;595.0247907;150.7772488;510.3502783
3019.237453;1526.859332;603.4661825;822.8092023;595.0247907;150.7772488;510.3502783
3332.771992;1628.962311;727.8879019;945.9261019;636.4092205;120.852039;545.552858
3332.771992;1628.962311;727.8879019;945.9261019;636.4092205;120.852039;545.552858
3332.771992;1628.962311;727.8879019;945.9261019;636.4092205;120.852039;545.552858
3478.583987;1683.834236;750.2554898;1056.388811;692.1743138;100.5479909;579.7317728
3478.583987;1683.834236;750.2554898;1056.388811;692.1743138;100.5479909;579.7317728
3478.583987;1683.834236;750.2554898;1056.388811;692.1743138;100.5479909;579.7317728
3743.29529;1802.412537;809.7429098;1087.699112;744.4746817;167.6143043;620.3011086
3743.29529;1802.412537;809.7429098;1087.699112;744.4746817;167.6143043;620.3011086
3743.29529;1802.412537;809.7429098;1087.699112;744.4746817;167.6143043;620.3011086
3914.322473;1927.977139;826.2849796;1182.030403;798.3267398;118.4736117;657.8830798
3914.322473;1927.977139;826.2849796;1182.030403;798.3267398;118.4736117;657.8830798
3914.322473;1927.977139;826.2849796;1182.030403;798.3267398;118.4736117;657.8830798
3612.368327;1955.532246;857.911505;958.8187432;743.2099597;-112.8570928;696.1728861
3612.368327;1955.532246;857.911505;958.8187432;743.2099597;-112.8570928;696.1728861
3612.368327;1955.532246;857.911505;958.8187432;743.2099597;-112.8570928;696.1728861
3252.201586;1916.004264;764.9651694;779.7552198;670.7475106;-197.0728483;659.2972923
3252.201586;1916.004264;764.9651694;779.7552198;670.7475106;-197.0728483;659.2972923
3252.201586;1916.004264;764.9651694;779.7552198;670.7475106;-197.0728483;659.2972923
3403.154943;1922.143298;734.3804301;850.5663588;631.1247194;-163.985642;691.1752171
3403.154943;1922.143298;734.3804301;850.5663588;631.1247194;-163.985642;691.1752171
3403.154943;1922.143298;734.3804301;850.5663588;631.1247194;-163.985642;691.1752171
3609.668233;1931.575726;759.5943471;983.3212639;634.4696347;-140.2329028;709.8794334
3609.668233;1931.575726;759.5943471;983.3212639;634.4696347;-140.2329028;709.8794334
3609.668233;1931.575726;759.5943471;983.3212639;634.4696347;-140.2329028;709.8794334
3589.713647;1983.317111;740.1848333;970.1166733;682.1307193;-157.6277961;735.8535445
3589.713647;1983.317111;740.1848333;970.1166733;682.1307193;-157.6277961;735.8535445
3589.713647;1983.317111;740.1848333;970.1166733;682.1307193;-157.6277961;735.8535445
3900.409932;2086.274197;798.4643876;1063.187828;697.5993309;-63.32773348;713.4105844
3900.409932;2086.274197;798.4643876;1063.187828;697.5993309;-63.32773348;713.4105844
3900.409932;2086.274197;798.4643876;1063.187828;697.5993309;-63.32773348;713.4105844
4040.804756;2143.99655;856.243203;1099.308035;762.201376;-33.98082698;737.4391707
4040.804756;2143.99655;856.243203;1099.308035;762.201376;-33.98082698;737.4391707
4040.804756;2143.99655;856.243203;1099.308035;762.201376;-33.98082698;737.4391707
4190.47142;2197.381248;889.5630929;1122.199375;835.9006135;57.50695714;759.7213607
4190.47142;2197.381248;889.5630929;1122.199375;835.9006135;57.50695714;759.7213607
4190.47142;2197.381248;889.5630929;1122.199375;835.9006135;57.50695714;759.7213607
4397.137035;2282.875664;913.8650314;1193.042616;896.3496114;108.5118653;795.1914694
4397.137035;2282.875664;913.8650314;1193.042616;896.3496114;108.5118653;795.1914694
4397.137035;2282.875664;913.8650314;1193.042616;896.3496114;108.5118653;795.1914694
4664.587167;2383.872384;945.7130733;1269.907107;938.7960022;162.9223988;840.9682063
4664.587167;2383.872384;945.7130733;1269.907107;938.7960022;162.9223988;840.9682063
